# WOLF (Wordnet Libre du Français)	fra	http://alpage.inria.fr/~sagot/wolf-en.html	CeCILL-C
00008007-r	fre:lemma	tout à fait
00008195-v	fre:lemma	chauve-souris
00008435-v	fre:lemma	ciller
00008600-r	fre:lemma	mais
00008600-r	fre:lemma	seul
00008600-r	fre:lemma	uniquement
00008600-r	fre:lemma	que
00008600-r	fre:lemma	exclusivement
00008600-r	fre:lemma	seulement
00008602-v	fre:lemma	strabisme
00008997-r	fre:lemma	entièrement
00008997-r	fre:lemma	vraiment
00008997-r	fre:lemma	absolument
00008997-r	fre:lemma	totalement
00008997-r	fre:lemma	parfaitement
00009046-a	fre:lemma	tempérant
00009147-v	fre:lemma	muer
00009373-r	fre:lemma	nettoyer
00009373-r	fre:lemma	prune
00009373-r	fre:lemma	prunier
00009492-v	fre:lemma	desquamer
00009541-r	fre:lemma	prune
00009541-r	fre:lemma	prunier
00009618-a	fre:lemma	ascétique
00009618-a	fre:lemma	ascète
00009631-v	fre:lemma	tic
00009650-r	fre:lemma	parfaitement
00009966-r	fre:lemma	s'il te plaît
00009966-r	fre:lemma	s'il vous plaît
00009978-a	fre:lemma	vorace
00009978-a	fre:lemma	gourmand
00009978-a	fre:lemma	avide
00009978-a	fre:lemma	goulu
00009978-a	fre:lemma	glouton
00010047-r	fre:lemma	imparfaitement
00010435-v	fre:lemma	agir
00010435-v	fre:lemma	se comporter
00010466-r	fre:lemma	entièrement
00010466-r	fre:lemma	plein
00010466-r	fre:lemma	absolument
00010466-r	fre:lemma	totalement
00010466-r	fre:lemma	entier
00010466-r	fre:lemma	complètement
00010466-r	fre:lemma	en entier
00010726-a	fre:lemma	rapace
00010726-a	fre:lemma	vorace
00010759-r	fre:lemma	uniquement
00010759-r	fre:lemma	seul
00010759-r	fre:lemma	seulement
00010914-r	fre:lemma	seul
00010914-r	fre:lemma	seulement
00011011-r	fre:lemma	seul
00011011-r	fre:lemma	seulement
00011093-r	fre:lemma	alors
00011093-r	fre:lemma	puits
00011093-r	fre:lemma	bien
00011093-r	fre:lemma	bon
00011160-a	fre:lemma	cupide
00011160-a	fre:lemma	goulu
00011160-a	fre:lemma	glouton
00011516-r	fre:lemma	faiblement
00011516-r	fre:lemma	malade
00011516-r	fre:lemma	mal
00011551-v	fre:lemma	présumer
00011757-a	fre:lemma	abstraire
00011757-a	fre:lemma	abstrait
00011916-r	fre:lemma	malade
00012129-r	fre:lemma	alors
00012129-r	fre:lemma	puits
00012129-r	fre:lemma	bien
00012137-v	fre:lemma	menace
00012286-r	fre:lemma	mal
00012362-a	fre:lemma	conceptuel
00012434-v	fre:lemma	pavaner
00012531-r	fre:lemma	puits
00012531-r	fre:lemma	facilement
00012531-r	fre:lemma	mieux
00012531-r	fre:lemma	également
00012613-v	fre:lemma	geler
00012613-v	fre:lemma	devenir glacial
00012689-a	fre:lemma	idéal
00012779-r	fre:lemma	bien
00012779-r	fre:lemma	puits
00012932-a	fre:lemma	idéologique
00013092-r	fre:lemma	alors
00013092-r	fre:lemma	puits
00013092-r	fre:lemma	bien
00013160-a	fre:lemma	concret
00013160-a	fre:lemma	béton
00013236-r	fre:lemma	malade
00013236-r	fre:lemma	mal
00013328-v	fre:lemma	jouer
00013328-v	fre:lemma	jouet
00013328-v	fre:lemma	jeu
00013429-r	fre:lemma	bien
00013429-r	fre:lemma	puits
00013442-a	fre:lemma	objectif
00013615-v	fre:lemma	représenter
00013615-v	fre:lemma	jeu
00013615-v	fre:lemma	jouer
00013615-v	fre:lemma	sembler
00013615-v	fre:lemma	agir
00013615-v	fre:lemma	présenter
00013626-r	fre:lemma	largement
00013626-r	fre:lemma	bien
00013626-r	fre:lemma	puits
00013626-r	fre:lemma	richement
00013662-a	fre:lemma	réel
00013662-a	fre:lemma	tangible
00013793-r	fre:lemma	avantageusement
00013793-r	fre:lemma	bien
00013793-r	fre:lemma	heureusement
00013793-r	fre:lemma	puits
00013793-r	fre:lemma	favorablement
00013887-a	fre:lemma	ample
00013887-a	fre:lemma	large
00013887-a	fre:lemma	profus
00013887-a	fre:lemma	abondant
00013887-a	fre:lemma	plantureux
00013887-a	fre:lemma	copieux
00014014-r	fre:lemma	tant
00014014-r	fre:lemma	cruellement
00014014-r	fre:lemma	durement
00014014-r	fre:lemma	mal
00014201-v	fre:lemma	frissonner
00014285-r	fre:lemma	amplement
00014285-r	fre:lemma	puits
00014285-r	fre:lemma	terriblement
00014285-r	fre:lemma	bien
00014285-r	fre:lemma	sérieusement
00014285-r	fre:lemma	copieusement
00014285-r	fre:lemma	largement
00014285-r	fre:lemma	considérablement
00014405-v	fre:lemma	se reposer
00014490-a	fre:lemma	ample
00014490-a	fre:lemma	large
00014490-a	fre:lemma	profus
00014490-a	fre:lemma	abondant
00014490-a	fre:lemma	plantureux
00014490-a	fre:lemma	grand
00014616-r	fre:lemma	alors
00014616-r	fre:lemma	puits
00014616-r	fre:lemma	bien
00014738-r	fre:lemma	mal
00014742-v	fre:lemma	dormir
00014858-a	fre:lemma	étendu
00014858-a	fre:lemma	ample
00014858-a	fre:lemma	large
00014858-a	fre:lemma	profus
00014858-a	fre:lemma	abondant
00014858-a	fre:lemma	plantureux
00014858-a	fre:lemma	copieux
00014882-r	fre:lemma	bien
00014882-r	fre:lemma	puits
00015007-r	fre:lemma	alors
00015007-r	fre:lemma	puits
00015007-r	fre:lemma	bien
00015097-a	fre:lemma	facile
00015135-r	fre:lemma	alors
00015135-r	fre:lemma	puits
00015135-r	fre:lemma	bien
00015247-a	fre:lemma	ample
00015247-a	fre:lemma	large
00015247-a	fre:lemma	profus
00015247-a	fre:lemma	abondant
00015247-a	fre:lemma	plantureux
00015247-a	fre:lemma	copieux
00015247-a	fre:lemma	luxuriant
00015303-v	fre:lemma	somnoler
00015388-n	fre:lemma	bête
00015388-n	fre:lemma	créature
00015388-n	fre:lemma	faune
00015388-n	fre:lemma	animal
00015388-n	fre:lemma	être
00015471-r	fre:lemma	bien
00015471-r	fre:lemma	alors
00015471-r	fre:lemma	comme ça
00015471-r	fre:lemma	proprement
00015471-r	fre:lemma	est bon
00015471-r	fre:lemma	bon
00015498-v	fre:lemma	sieste
00015589-a	fre:lemma	long
00015854-a	fre:lemma	abondant
00015860-r	fre:lemma	largement
00015946-v	fre:lemma	hiberner
00015953-r	fre:lemma	sérieusement
00015953-r	fre:lemma	gravement
00015953-r	fre:lemma	mal
00015953-r	fre:lemma	sévèrement
00016240-r	fre:lemma	mal
00016240-r	fre:lemma	mauvais
00016458-r	fre:lemma	mal
00016458-r	fre:lemma	mauvais
00016647-a	fre:lemma	vert
00016678-r	fre:lemma	malicieusement
00016678-r	fre:lemma	mal
00016756-a	fre:lemma	insuffisant
00016950-r	fre:lemma	mal
00017024-a	fre:lemma	rare
00017031-v	fre:lemma	vrombir
00017031-v	fre:lemma	ronfler
00017077-r	fre:lemma	pire
00017077-r	fre:lemma	pis
00017222-n	fre:lemma	végétal
00017222-n	fre:lemma	plante
00017222-n	fre:lemma	flore
00017282-v	fre:lemma	s'endormir
00017445-r	fre:lemma	voire
00017445-r	fre:lemma	encore
00017639-r	fre:lemma	encore
00017639-r	fre:lemma	même
00017782-a	fre:lemma	admissible
00017782-a	fre:lemma	acceptable
00017865-v	fre:lemma	lit
00017865-v	fre:lemma	se coucher
00017865-v	fre:lemma	pieuter
00018043-r	fre:lemma	même
00018069-a	fre:lemma	bancable
00018158-v	fre:lemma	se lever
00018158-v	fre:lemma	surgir
00018158-v	fre:lemma	devenir
00018158-v	fre:lemma	sursauter
00018526-v	fre:lemma	se réveiller
00018584-a	fre:lemma	inacceptable
00018781-r	fre:lemma	relativement
00018781-r	fre:lemma	suffisamment
00018781-r	fre:lemma	assez
00018813-v	fre:lemma	éveiller
00018813-v	fre:lemma	susciter
00018813-v	fre:lemma	réveiller
00018813-v	fre:lemma	hérisser
00018813-v	fre:lemma	se réveiller
00018813-v	fre:lemma	décevoir
00019131-a	fre:lemma	accessible
00019131-a	fre:lemma	abordable
00019181-r	fre:lemma	purement
00019339-r	fre:lemma	toujours
00019349-a	fre:lemma	abordable
00019448-v	fre:lemma	affecter
00019448-v	fre:lemma	léser
00019505-a	fre:lemma	abordable
00019731-a	fre:lemma	commode
00019731-a	fre:lemma	convenable
00019731-a	fre:lemma	opportun
00019757-r	fre:lemma	toujours
00019792-v	fre:lemma	agresser
00019792-v	fre:lemma	prendre
00019792-v	fre:lemma	attaque
00019792-v	fre:lemma	attaquer
00019874-a	fre:lemma	inaccessible
00020133-v	fre:lemma	réveiller
00020142-r	fre:lemma	consécutivement
00020142-r	fre:lemma	successivement
00020259-v	fre:lemma	veiller
00020280-r	fre:lemma	constamment
00020280-r	fre:lemma	continuellement
00020476-r	fre:lemma	toujours
00020671-v	fre:lemma	hypnotiser
00020759-r	fre:lemma	jamais
00020827-n	fre:lemma	matière
00020827-n	fre:lemma	substance
00020997-r	fre:lemma	jamais
00021065-v	fre:lemma	anesthésier
00021110-a	fre:lemma	affable
00021212-r	fre:lemma	de temps en temps
00021212-r	fre:lemma	occasionnellement
00021212-r	fre:lemma	quelquefois
00021212-r	fre:lemma	parfois
00021265-n	fre:lemma	nutriment
00021265-n	fre:lemma	nourriture
00021265-n	fre:lemma	aliment
00021766-a	fre:lemma	précis
00021766-a	fre:lemma	exact
00021766-a	fre:lemma	juste
00021826-v	fre:lemma	chloroforme
00021878-r	fre:lemma	des fois
00021878-r	fre:lemma	tantôt
00021878-r	fre:lemma	quelquefois
00021878-r	fre:lemma	parfois
00021939-n	fre:lemma	artefact
00021939-n	fre:lemma	artéfact
00021997-v	fre:lemma	geler
00021997-v	fre:lemma	congeler
00022131-r	fre:lemma	quand
00022131-r	fre:lemma	car
00022131-r	fre:lemma	lorsque
00022131-r	fre:lemma	puisque
00022131-r	fre:lemma	aussi
00022131-r	fre:lemma	comme
00022131-r	fre:lemma	également
00022131-r	fre:lemma	que
00022131-r	fre:lemma	tant
00022131-r	fre:lemma	pendant que
00022131-r	fre:lemma	même
00022219-a	fre:lemma	fidèle
00022219-a	fre:lemma	fermer
00022219-a	fre:lemma	précis
00022316-v	fre:lemma	apaiser
00022316-v	fre:lemma	calmer
00022401-r	fre:lemma	jadis
00022686-v	fre:lemma	stimuler
00022686-v	fre:lemma	irriter
00022829-r	fre:lemma	maint
00022829-r	fre:lemma	beaucoup
00022852-a	fre:lemma	chirurgical
00022903-n	fre:lemma	article
00022903-n	fre:lemma	objet
00022962-a	fre:lemma	droit
00023120-a	fre:lemma	vrai
00023263-r	fre:lemma	paradoxalement
00023271-n	fre:lemma	science
00023271-n	fre:lemma	connaissance
00023271-n	fre:lemma	savoir
00023574-r	fre:lemma	bourgeoisement
00023574-r	fre:lemma	conventionnellement
00023574-r	fre:lemma	classiquement
00023574-r	fre:lemma	arbitrairement
00023646-v	fre:lemma	s'évanouir
00023646-v	fre:lemma	évanouir
00023646-v	fre:lemma	cogner
00023655-a	fre:lemma	loin
00023655-a	fre:lemma	dehors
00023773-n	fre:lemma	motivation
00023773-n	fre:lemma	motif
00023773-n	fre:lemma	besoin
00023868-v	fre:lemma	distribuer
00024047-v	fre:lemma	ressusciter
00024047-v	fre:lemma	revivre
00024073-r	fre:lemma	non
00024073-r	fre:lemma	pas
00024073-r	fre:lemma	niet
00024073-r	fre:lemma	ne
00024241-a	fre:lemma	large
00024241-a	fre:lemma	ample
00024257-r	fre:lemma	rien
00024257-r	fre:lemma	que dalle
00024264-n	fre:lemma	attribut
00024279-v	fre:lemma	raviver
00024279-v	fre:lemma	réparer
00024279-v	fre:lemma	relancer
00024279-v	fre:lemma	réanimer
00024279-v	fre:lemma	rénover
00024356-r	fre:lemma	non
00024587-r	fre:lemma	non
00024587-r	fre:lemma	personne
00024587-r	fre:lemma	rien
00024619-a	fre:lemma	habitué
00024649-v	fre:lemma	rafraîchir
00024682-r	fre:lemma	aucun
00024682-r	fre:lemma	personne
00024720-n	fre:lemma	état
00024814-v	fre:lemma	rafraîchir
00024893-r	fre:lemma	soit
